,0,1,2,3,4,5,6,7,8,9,10,11,12,13
76,13,263,B,2,1,2,612,337,541,513,540,327,9,X
77,14,279,A,2,1,2,454,606,540,344,589,517,8,X
78,15,312,B,1,2,1,499,325,543,599,587,332,5,X
79,16,330,A,2,2,2,442,488,539,331,536,621,6,X
80,17,354,B,2,1,2,790,379,481,519,566,341,6,X
81,18,380,A,2,1,2,517,627,725,368,644,526,8,X
82,19,422,B,1,2,1,512,334,542,630,590,337,5,X
83,20,439,A,2,2,2,663,477,561,336,555,633,6,X
84,21,464,B,2,2,2,481,378,611,513,605,337,6,X
85,22,489,A,2,2,2,426,609,510,373,615,537,8,X
86,23,520,B,2,1,2,729,355,449,616,570,345,7,X
87,24,547,A,2,1,2,529,612,682,354,616,569,8,X
88,25,581,B,1,2,1,494,289,562,617,588,335,3,X
89,26,620,A,2,2,1,432,478,490,296,614,557,7,X
90,27,642,B,2,1,2,781,374,473,518,543,304,6,X
91,28,669,A,2,1,2,493,615,723,371,632,530,9,X
92,29,707,B,1,2,1,782,320,549,616,597,339,5,X
93,30,725,A,2,1,2,852,473,643,331,506,625,6,X
94,31,752,B,2,2,2,813,379,771,503,698,341,6,X
95,32,780,A,2,1,2,826,625,761,364,687,520,8,X
96,33,817,B,2,2,2,800,298,769,630,669,324,3,X
97,34,850,A,1,2,1,841,540,722,317,668,573,5,X
98,35,865,B,2,2,2,536,324,729,561,744,303,4,X
99,36,890,A,2,2,2,467,565,562,327,725,561,4,X
100,37,906,B,2,2,2,505,382,686,556,572,343,6,X
101,38,933,A,2,2,2,376,613,514,361,603,539,8,X
102,39,969,B,2,1,2,564,270,418,622,542,346,3,A
103,0,0,A,0,0,0,0,0,0,0,0,0,0,X
104,1,24,B,2,1,2,553,385,649,465,579,370,1,X
105,2,49,A,2,2,2,983,590,577,383,641,462,9,X
106,3,86,B,2,2,1,802,371,926,594,634,372,7,A
107,0,0,A,0,0,0,0,0,0,0,0,0,0,X
108,1,36,B,2,1,2,685,384,618,467,704,369,1,X
109,2,61,A,2,2,2,315,590,697,383,672,472,8,X
110,3,95,B,1,2,1,637,381,582,577,614,369,7,X
111,4,119,A,2,2,1,844,426,662,380,544,545,6,A
112,0,0,A,0,0,0,0,0,0,0,0,0,0,X
113,1,28,A,2,1,2,786,435,630,327,724,513,1,X
114,2,52,B,2,2,2,784,364,736,446,643,320,6,X
115,3,78,A,2,1,2,807,546,746,348,703,484,8,X
116,4,104,B,2,2,1,501,286,758,558,664,320,5,B
117,0,0,A,0,0,0,0,0,0,0,0,0,0,X
118,1,6,A,2,1,2,573,466,651,341,547,525,1,X
119,2,20,B,2,1,2,694,318,604,468,622,331,9,X
120,3,31,A,2,1,1,594,494,632,339,616,469,4,X
121,4,40,B,2,1,2,605,379,667,502,644,331,6,X
122,5,67,A,2,2,2,627,434,624,364,645,502,6,X
123,6,89,B,2,1,2,661,392,660,444,622,355,6,X
124,7,111,A,2,1,1,525,441,630,386,653,462,6,X
125,8,130,B,2,1,2,826,275,559,457,644,364,8,A
126,0,0,A,0,0,0,0,0,0,0,0,0,0,X
127,1,24,A,2,1,2,723,454,620,345,730,536,1,X
128,2,41,B,2,2,2,533,356,703,478,616,343,6,X
129,3,60,A,2,2,2,818,613,563,359,675,493,8,X
130,4,94,B,2,2,1,748,310,705,599,610,331,5,X
131,5,108,A,2,1,2,654,469,625,319,784,628,6,X
132,6,132,B,2,1,2,793,370,685,496,643,326,6,X
133,7,156,A,2,1,2,830,426,760,383,714,530,6,X
134,8,185,B,2,2,2,717,276,805,463,711,369,8,X
135,9,240,A,2,2,1,865,455,699,285,697,543,5,A
136,0,0,A,0,0,0,0,0,0,0,0,0,0,X
137,1,8,A,2,1,2,788,452,620,351,719,549,1,X
138,2,27,B,2,2,2,546,383,759,490,631,350,6,X
139,3,49,A,2,2,2,638,441,567,388,691,514,6,X
140,4,73,B,2,2,2,607,399,587,464,601,373,6,X
141,5,99,A,2,1,2,835,621,587,396,605,490,8,X
142,6,148,B,2,2,1,819,316,791,628,627,329,5,B
143,0,0,A,0,0,0,0,0,0,0,0,0,0,X
144,1,59,A,2,1,2,796,443,630,379,746,485,1,X
145,2,84,B,2,2,2,800,394,731,459,651,375,6,X
146,3,115,A,2,2,2,789,589,747,391,686,465,8,X
147,4,169,B,2,2,1,755,367,784,603,678,377,5,X
148,5,188,A,2,2,2,619,438,691,372,729,556,6,X
149,6,215,B,2,2,2,558,424,581,463,657,378,6,A
150,0,0,A,0,0,0,0,0,0,0,0,0,0,X
151,1,24,B,2,1,2,573,381,649,466,588,369,1,X
152,2,47,A,2,2,2,838,418,586,382,650,470,6,X
153,3,75,B,2,2,2,730,354,792,432,669,377,8,X
154,4,112,A,1,2,1,551,496,682,363,698,460,3,X
155,5,132,B,1,2,1,536,367,631,481,695,363,5,X
156,6,151,A,2,2,2,775,434,587,370,649,485,6,X
157,7,179,B,2,2,2,512,389,743,452,594,366,6,X
158,8,208,A,2,2,2,260,624,534,387,606,456,8,X
159,9,251,B,1,2,1,547,360,409,604,598,375,3,X
160,10,291,A,2,2,1,879,476,564,359,599,517,5,A
161,0,0,A,0,0,0,0,0,0,0,0,0,0,X
162,1,13,A,2,1,2,774,438,635,332,726,525,1,X
163,2,41,B,2,2,2,745,283,731,466,644,325,8,X
164,3,69,A,1,2,1,788,498,678,285,716,500,5,X
165,4,82,B,2,2,2,322,403,745,524,690,279,6,A
166,0,0,A,0,0,0,0,0,0,0,0,0,0,X
167,1,14,A,2,1,2,771,439,629,376,766,477,1,X
168,2,37,B,2,2,2,650,399,752,447,630,376,6,X
169,3,63,A,2,2,2,790,407,627,395,664,448,6,X
170,4,96,B,2,2,2,821,411,746,424,688,392,6,A
171,0,0,A,0,0,0,0,0,0,0,0,0,0,X
172,1,25,A,2,1,2,769,439,635,376,757,495,1,X
173,2,51,B,2,2,2,743,353,716,439,641,374,8,X
174,3,88,A,1,2,1,839,469,688,358,700,480,5,X
175,4,108,B,2,2,2,508,391,833,478,699,359,6,X
176,5,137,A,2,2,2,356,573,546,388,639,483,8,X
177,6,178,B,2,2,1,547,372,440,585,602,376,5,X
178,7,192,A,2,2,2,525,444,591,370,420,553,6,X
179,8,221,B,2,1,2,534,361,608,441,605,372,9,X
180,9,242,A,2,2,1,345,553,575,364,611,458,3,X
181,10,287,B,2,2,1,692,372,434,568,589,373,5,X
182,11,305,A,2,1,2,800,443,593,373,448,546,6,X
183,12,335,B,2,1,2,789,394,779,447,659,376,6,X
184,13,365,A,2,1,2,933,575,745,389,717,457,8,X
185,14,409,B,2,2,1,737,371,840,581,661,373,5,X
186,15,424,A,2,1,2,763,445,641,371,873,563,6,X
187,16,448,B,2,2,2,723,357,707,449,653,373,8,X
188,17,476,A,1,2,1,863,499,666,360,729,470,5,X
189,18,490,B,2,2,2,499,384,765,501,676,363,6,X
190,19,524,A,2,2,2,433,554,549,383,616,483,8,X
191,20,563,B,2,2,1,549,386,477,564,605,372,7,X
192,21,586,A,2,2,2,1015,576,555,380,547,521,8,X
193,22,626,B,2,2,1,764,353,928,588,644,372,3,X
194,23,664,A,1,2,1,440,462,721,354,700,506,7,X
195,24,684,B,2,1,2,516,363,546,474,733,357,8,X
196,25,719,A,2,2,2,471,445,558,364,609,480,7,X
197,26,742,B,2,1,2,741,351,489,445,587,369,9,A
198,0,0,A,0,0,0,0,0,0,0,0,0,0,X
199,1,29,A,2,2,2,394,655,652,405,534,598,2,X
200,2,90,B,1,2,1,508,338,413,655,574,396,3,A
201,0,0,A,0,0,0,0,0,0,0,0,0,0,X
202,1,46,B,2,1,2,696,390,615,479,690,372,1,X
203,2,69,A,2,1,2,778,414,693,384,622,470,6,X
204,3,97,B,2,2,2,737,349,743,437,670,384,8,A
205,0,0,A,0,0,0,0,0,0,0,0,0,0,X
206,1,23,A,2,1,2,610,436,651,375,543,493,1,X
207,2,46,B,2,1,2,725,353,582,462,618,376,8,X
208,3,86,A,2,2,1,876,450,694,359,687,482,7,X
209,4,110,B,2,2,2,756,356,811,474,684,364,9,X
210,5,142,A,2,2,1,416,565,721,363,745,489,3,X
211,6,183,B,1,2,1,539,359,509,561,661,370,3,X
212,7,213,A,1,2,1,864,557,575,366,565,519,3,X
213,8,253,B,2,2,1,699,355,817,587,632,370,3,X
214,9,287,A,2,2,1,492,448,690,361,731,502,7,X
215,10,313,B,2,1,2,514,389,511,475,651,368,6,X
216,11,346,A,2,1,2,484,407,561,397,594,491,6,B
217,0,0,A,0,0,0,0,0,0,0,0,0,0,X
218,1,44,A,2,1,2,828,435,632,379,735,481,1,X
219,2,69,B,2,2,2,717,393,785,452,652,376,6,X
220,3,95,A,2,2,2,87,671,689,394,682,452,9,B
221,0,0,A,0,0,0,0,0,0,0,0,0,0,X
222,1,40,B,2,1,2,667,381,624,463,692,369,1,X
223,2,75,A,2,2,2,505,426,684,378,648,464,6,X
224,3,107,B,2,1,2,597,358,522,435,627,378,8,X
225,4,148,A,2,2,1,865,445,610,355,645,476,7,X
226,5,175,B,2,2,2,791,390,820,456,650,366,6,X
227,6,206,A,2,1,2,1003,556,754,385,707,459,8,X
228,7,253,B,2,2,1,542,360,944,566,665,373,3,X
229,8,290,A,2,2,1,398,457,561,357,630,496,7,X
230,9,314,B,2,1,2,550,362,423,473,579,367,8,X
231,10,350,A,2,2,1,847,440,566,358,644,485,7,X
232,11,378,B,2,2,2,748,356,822,452,635,368,8,X
233,12,415,A,1,2,1,990,578,700,356,740,471,3,X
234,13,454,B,2,2,1,796,396,941,595,668,370,7,X
235,14,481,A,2,1,2,552,418,778,377,764,531,6,X
236,15,511,B,2,1,2,523,405,563,429,713,369,6,X
237,16,538,A,2,2,2,594,465,577,398,566,442,8,X
238,17,577,B,2,2,1,601,367,618,474,614,376,5,X
239,18,589,A,2,2,2,499,429,598,367,634,467,6,X
240,19,615,B,2,1,2,689,357,509,436,627,371,9,X
241,20,642,A,1,2,1,525,554,642,358,623,470,3,X
242,21,673,B,1,2,1,789,360,697,523,621,368,5,A
243,0,0,A,0,0,0,0,0,0,0,0,0,0,X
244,1,8,A,2,1,2,805,450,631,341,727,522,1,X
245,2,30,B,2,2,2,787,372,770,458,649,335,6,X
246,3,51,A,2,1,2,526,451,737,366,720,488,6,X
247,4,73,B,2,1,2,716,388,573,465,655,345,6,X
248,5,97,A,2,1,2,686,430,670,370,646,491,6,X
249,6,121,B,2,2,2,660,389,655,447,646,347,6,X
250,7,150,A,2,2,2,598,590,678,370,660,449,8,X
251,8,197,B,2,2,1,480,355,610,596,596,317,7,X
252,9,221,A,2,2,2,472,455,497,343,595,581,6,X
253,10,246,B,2,1,2,698,311,510,469,577,339,9,X
254,11,263,A,2,2,1,890,610,604,324,582,495,5,A
255,0,0,A,0,0,0,0,0,0,0,0,0,0,X
256,1,7,A,2,1,2,709,463,617,349,719,553,1,X
257,2,25,B,2,2,2,659,388,719,481,627,348,6,X
258,3,50,A,2,1,2,933,673,608,385,675,521,8,B
259,1,5,B,2,1,2,562,337,645,483,571,321,2,X
260,2,14,A,2,2,1,542,518,551,338,647,482,4,X
261,3,27,B,2,1,2,773,356,652,515,543,355,6,X
262,4,54,A,2,1,2,754,425,731,351,644,501,6,X
263,5,80,B,2,2,2,775,389,763,443,700,346,6,X
264,6,104,A,2,1,2,628,577,734,376,700,471,8,X
265,7,155,B,2,2,1,544,311,633,596,594,312,5,X
266,8,168,A,2,2,2,578,441,575,308,637,563,6,X
267,9,189,B,2,1,2,676,321,586,475,610,312,9,X
268,10,201,A,2,1,1,484,502,602,329,624,483,4,X
269,11,213,B,2,1,2,532,350,655,497,600,335,6,X
270,12,234,A,2,2,2,806,470,566,346,629,500,6,X
271,13,255,B,2,2,2,803,376,778,480,608,331,6,X
272,14,282,A,2,1,2,511,598,757,363,716,487,8,X
273,15,323,B,2,2,1,495,333,574,594,608,319,5,X
274,16,342,A,2,2,2,707,454,528,318,546,605,6,X
275,17,367,B,2,2,2,620,384,695,474,598,322,6,X
276,18,390,A,2,2,2,819,551,666,368,692,505,8,X
277,19,414,B,2,2,1,547,352,727,558,633,339,7,X
278,20,439,A,2,2,2,639,458,558,341,782,576,6,X
279,21,462,B,2,1,2,637,396,659,463,619,337,6,X
280,22,487,A,2,2,2,795,612,660,376,649,451,8,X
281,23,536,B,2,2,1,788,324,753,623,629,324,5,X
282,24,552,A,2,1,2,817,470,632,315,722,586,6,X
283,25,575,B,2,2,2,816,381,758,483,670,325,6,X
284,26,601,A,2,1,2,611,595,782,363,742,482,8,X
285,27,649,B,2,2,1,714,318,626,599,603,317,5,X
286,28,663,A,2,1,2,808,475,575,316,629,590,6,X
287,29,689,B,2,2,2,802,382,750,490,665,329,6,X
288,30,716,A,2,1,2,405,646,769,362,716,486,8,B
289,0,0,A,0,0,0,0,0,0,0,0,0,0,X
290,1,34,A,2,1,2,675,444,633,329,726,510,1,X
291,2,57,B,2,1,2,799,351,703,459,644,321,6,X
292,3,81,A,2,1,2,722,422,741,345,693,490,6,X
293,4,105,B,2,2,2,640,380,702,435,691,346,6,X
294,5,128,A,2,1,2,500,589,661,356,661,446,8,X
295,6,166,B,2,1,1,779,328,545,608,602,324,7,X
296,7,190,A,2,1,2,798,446,734,322,639,552,6,X
297,8,218,B,2,2,2,549,294,754,472,659,308,8,X
298,9,241,A,2,2,1,401,575,639,288,671,522,3,X
299,10,273,B,2,1,1,505,316,449,589,581,297,4,X
300,11,287,A,2,2,1,648,456,544,316,514,533,6,X
301,12,311,B,2,1,2,794,376,679,476,601,320,6,X
302,13,336,A,2,1,2,785,412,740,372,693,486,6,X
303,14,361,B,2,2,2,743,257,787,438,684,346,8,A
304,0,0,A,0,0,0,0,0,0,0,0,0,0,X
305,1,37,A,2,1,2,694,431,630,330,728,514,1,X
306,2,58,B,2,2,2,624,358,687,451,642,326,6,X
307,3,82,A,2,1,2,438,583,611,345,648,476,8,X
308,4,114,B,1,2,1,519,328,592,562,576,323,5,X
309,5,125,A,2,2,2,758,449,559,324,538,585,6,X
310,6,152,B,2,2,2,601,298,731,481,628,324,8,X
311,7,180,A,2,2,1,689,614,638,293,719,513,5,A
312,0,0,A,0,0,0,0,0,0,0,0,0,0,X
313,1,22,B,2,1,2,682,334,616,511,692,310,1,X
314,2,41,A,2,1,2,472,605,637,339,627,509,9,X
315,3,80,B,1,2,1,490,322,586,583,596,311,5,X
316,4,98,A,2,2,2,509,426,536,311,570,597,6,X
317,5,127,B,2,1,2,492,387,520,451,566,315,6,X
318,6,151,A,2,2,2,615,588,525,383,571,464,8,X
319,7,212,B,2,2,1,677,404,617,619,608,314,5,A
320,0,0,A,0,0,0,0,0,0,0,0,0,0,X
321,1,14,A,2,1,2,827,451,629,342,728,519,1,X
322,2,47,B,2,2,2,792,372,780,456,648,336,6,X
323,3,74,A,2,1,2,845,578,749,359,696,499,8,X
324,4,100,B,2,2,1,657,313,779,596,681,333,5,X
325,5,113,A,2,1,2,505,491,616,315,788,592,6,X
326,6,139,B,2,1,2,631,417,552,511,608,330,6,A
327,0,0,A,0,0,0,0,0,0,0,0,0,0,X
328,1,5,B,2,1,2,555,464,670,564,550,419,1,X
329,2,27,A,2,1,2,435,511,539,445,633,560,6,X
330,3,53,B,2,1,2,524,380,479,525,601,435,8,A
331,0,0,A,0,0,0,0,0,0,0,0,0,0,X
332,1,9,B,2,2,2,602,307,657,502,598,279,1,X
333,2,30,A,2,1,2,441,600,628,308,612,506,9,X
334,3,72,B,2,2,1,529,259,467,623,629,292,3,X
335,4,97,A,1,2,1,442,603,582,276,557,588,3,X
336,5,133,B,2,2,1,527,332,500,624,604,285,7,X
337,6,162,A,2,1,2,484,389,539,328,557,555,6,X
338,7,187,B,2,2,2,540,248,495,424,567,311,8,X
339,8,235,A,1,2,1,789,548,540,262,569,482,3,X
340,9,265,B,1,2,1,728,247,692,550,598,263,3,X
341,10,306,A,2,2,1,491,591,715,255,665,542,3,X
342,11,342,B,2,2,2,466,286,552,603,648,271,7,A
343,0,0,A,0,0,0,0,0,0,0,0,0,0,X
344,1,5,A,2,1,2,817,458,624,353,715,548,1,X
345,2,24,B,2,2,2,547,397,739,488,634,348,6,X
346,3,48,A,2,2,2,637,446,557,377,654,499,6,X
347,4,71,B,2,2,2,631,404,595,479,600,378,6,X
348,5,94,A,2,1,2,718,586,594,411,621,475,8,X
349,6,158,B,2,2,1,554,331,724,590,606,338,5,X
350,7,172,A,2,2,2,510,550,584,323,737,577,8,X
351,8,195,B,1,2,1,746,318,611,555,562,336,5,B
352,0,0,A,0,0,0,0,0,0,0,0,0,0,X
353,1,12,B,2,1,2,600,343,653,505,565,319,1,X
354,2,31,A,2,1,2,518,573,574,343,630,502,8,X
355,3,68,B,1,2,1,504,304,564,588,610,317,5,X
356,4,81,A,2,2,2,501,437,564,309,549,606,6,X
357,5,107,B,2,2,2,595,313,519,489,522,318,9,X
358,6,119,A,2,2,1,699,475,547,304,551,471,6,X
359,7,139,B,2,2,1,699,257,607,502,584,327,3,A
360,0,0,A,0,0,0,0,0,0,0,0,0,0,X
361,1,40,B,2,2,2,483,353,675,576,536,386,2,X
362,2,100,A,2,2,1,815,510,490,354,658,572,7,X
363,3,128,B,2,2,2,819,458,782,550,608,382,6,X
364,4,158,A,2,1,2,916,633,767,439,729,561,8,X
365,5,196,B,2,2,1,825,395,845,650,675,405,4,X
366,6,212,A,2,1,1,462,629,686,396,764,627,8,X
367,7,244,B,1,2,1,677,476,563,619,619,404,5,A
368,0,0,A,0,0,0,0,0,0,0,0,0,0,X
369,1,10,B,2,1,2,698,428,614,561,706,393,1,X
370,2,37,A,2,1,2,886,503,644,422,630,565,6,X
371,3,68,B,2,2,2,863,459,826,524,699,409,6,X
372,4,95,A,2,1,2,566,611,810,445,750,544,8,X
373,5,128,B,2,2,1,890,402,621,610,672,408,7,A
374,0,0,A,0,0,0,0,0,0,0,0,0,0,X
375,1,1,B,2,1,2,680,355,625,498,680,317,1,X
376,2,21,A,2,2,2,432,590,676,342,620,503,8,X
377,3,59,B,1,2,1,740,319,504,588,600,319,5,X
378,4,76,A,2,1,2,834,465,582,308,454,614,6,X
379,5,108,B,2,2,2,800,367,772,503,688,323,6,X
380,6,138,A,2,1,2,814,415,759,349,724,496,6,X
381,7,164,B,2,2,2,553,272,771,444,701,347,9,X
382,8,199,A,2,2,2,478,533,582,288,672,492,3,X
383,9,231,B,1,2,1,735,312,513,557,608,303,5,X
384,10,244,A,2,1,2,818,519,578,305,505,597,6,X
385,11,274,B,2,2,2,783,297,751,547,659,320,3,X
386,12,298,A,1,2,1,570,510,684,307,742,543,5,X
387,13,311,B,2,1,2,513,347,740,550,704,317,6,X
388,14,343,A,2,2,2,531,445,568,341,548,502,6,X
389,15,374,B,2,1,2,503,283,484,476,554,320,8,X
390,16,403,A,2,2,1,358,601,548,296,587,525,5,B
391,0,0,A,0,0,0,0,0,0,0,0,0,0,X
392,1,53,B,2,1,2,694,394,623,468,697,373,1,X
393,2,79,A,2,1,2,941,565,686,384,643,465,9,X
394,3,114,B,2,2,2,534,387,854,577,669,375,7,X
395,4,140,A,2,1,2,832,492,551,388,699,532,9,X
396,5,166,B,2,2,1,775,360,647,508,629,378,3,X
397,6,205,A,2,2,1,472,438,740,363,744,501,7,X
398,7,234,B,2,1,2,558,358,515,457,680,368,9,X
399,8,266,A,2,1,1,457,430,559,358,592,473,7,X
400,9,291,B,2,1,2,736,390,473,449,592,370,6,B
401,0,0,A,0,0,0,0,0,0,0,0,0,0,X
402,1,53,B,2,1,2,695,388,613,486,690,373,1,X
403,2,79,A,2,1,2,379,570,702,386,626,474,8,X
404,3,116,B,1,2,1,762,383,530,582,651,371,7,X
405,4,144,A,2,2,2,832,419,722,379,508,552,6,X
406,5,174,B,2,2,2,761,358,801,444,693,381,8,X
407,6,224,A,2,2,1,504,439,737,357,712,482,7,X
408,7,247,B,2,1,2,749,386,551,466,688,362,6,X
409,8,274,A,2,2,2,980,584,715,386,605,472,9,A
410,0,0,A,0,0,0,0,0,0,0,0,0,0,X
411,1,16,A,2,2,2,588,412,664,298,568,525,1,X
412,2,38,B,2,1,2,579,342,540,434,641,296,6,X
413,3,62,A,2,1,2,595,387,592,335,569,444,6,X
414,4,84,B,2,2,2,657,347,612,426,630,323,6,X
415,5,112,A,2,2,2,611,343,621,335,606,422,6,B
416,0,0,A,0,0,0,0,0,0,0,0,0,0,X
417,1,15,A,2,1,2,588,453,653,341,542,518,1,X
418,2,28,B,2,2,2,717,264,606,450,602,331,9,A
419,1,31,A,2,1,2,819,443,634,337,720,521,1,X
420,2,54,B,2,2,2,538,256,743,447,647,322,8,A
421,0,0,A,0,0,0,0,0,0,0,0,0,0,X
422,1,27,A,2,1,2,687,461,618,340,726,532,1,X
423,2,48,B,2,2,2,505,271,669,490,619,341,8,X
424,3,92,A,2,2,1,477,514,506,279,632,533,4,X
425,4,104,B,2,1,1,531,364,631,537,515,296,6,X
426,5,126,A,2,2,2,638,420,545,346,607,521,6,X
427,6,147,B,2,1,2,796,383,644,460,591,336,6,X
428,7,171,A,2,1,2,477,626,731,369,680,478,8,X
429,8,215,B,1,2,1,475,271,542,617,599,328,3,X
430,9,253,A,2,2,1,423,537,490,290,606,553,4,X
431,10,267,B,2,1,2,733,323,605,535,506,294,4,X
432,11,285,A,2,1,2,775,445,640,326,603,531,6,X
433,12,310,B,2,2,2,571,388,732,492,670,331,6,X
434,13,338,A,2,2,2,415,622,585,374,639,497,8,X
435,14,379,B,1,2,1,784,409,448,621,585,327,5,A
436,0,0,A,0,0,0,0,0,0,0,0,0,0,X
437,1,12,A,2,1,2,813,479,627,353,728,541,1,X
438,2,32,B,2,1,2,684,390,768,496,634,350,6,X
439,3,51,A,2,1,2,499,621,649,368,695,507,8,X
440,4,87,B,1,2,1,784,321,603,607,596,330,5,X
441,5,104,A,2,1,2,903,499,687,316,529,600,6,B
442,0,0,A,0,0,0,0,0,0,0,0,0,0,X
443,1,32,A,2,1,2,589,443,650,374,542,482,1,X
444,2,56,B,2,1,2,744,357,603,451,646,374,9,X
445,3,84,A,1,2,1,536,535,677,365,671,467,3,X
446,4,112,B,1,2,1,486,415,691,506,688,361,5,A
447,0,0,A,0,0,0,0,0,0,0,0,0,0,X
448,1,59,A,2,1,2,587,444,648,374,540,471,1,X
449,2,80,B,2,1,2,569,360,602,450,650,374,8,X
450,3,108,A,2,2,1,409,476,591,358,609,452,4,X
451,4,123,B,2,1,1,509,386,586,474,593,370,6,B
452,0,0,A,0,0,0,0,0,0,0,0,0,0,X
453,1,27,A,2,1,2,719,456,635,322,721,528,1,X
454,2,49,B,2,2,2,511,270,691,476,633,317,8,X
455,3,90,A,2,2,1,355,607,555,267,634,508,5,B
456,0,0,A,0,0,0,0,0,0,0,0,0,0,X
457,1,16,B,2,1,2,676,360,619,511,691,320,1,X
458,2,35,A,2,2,2,775,499,690,358,614,494,9,X
459,3,50,B,2,2,1,601,330,701,512,687,361,4,X
460,4,64,A,2,2,2,552,500,663,343,722,522,4,X
461,5,78,B,2,1,1,581,306,651,517,667,325,4,X
462,6,88,A,2,1,2,587,501,604,302,613,518,4,X
463,7,107,B,1,2,1,750,341,612,528,552,315,6,X
